Code1|Code2|Libellé
01.11Z|0111Z|Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses
01.12Z|0112Z|Culture du riz
01.13Z|0113Z|Culture de légumes, de melons, de racines et de tubercules
01.14Z|0114Z|Culture de la canne à sucre
01.15Z|0115Z|Culture du tabac
01.16Z|0116Z|Culture de plantes à fibres
01.19Z|0119Z|Autres cultures non permanentes
01.21Z|0121Z|Culture de la vigne
01.22Z|0122Z|Culture de fruits tropicaux et subtropicaux
01.23Z|0123Z|Culture d'agrumes
01.24Z|0124Z|Culture de fruits à pépins et à noyau
01.25Z|0125Z|Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
01.26Z|0126Z|Culture de fruits oléagineux
01.27Z|0127Z|Culture de plantes à boissons
01.28Z|0128Z|Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
01.29Z|0129Z|Autres cultures permanentes
01.30Z|0130Z|Reproduction de plantes
01.41Z|0141Z|Élevage de vaches laitières
01.42Z|0142Z|Élevage d'autres bovins et de buffles
01.43Z|0143Z|Élevage de chevaux et d'autres équidés
01.44Z|0144Z|Élevage de chameaux et d'autres camélidés
01.45Z|0145Z|Élevage d'ovins et de caprins
01.46Z|0146Z|Élevage de porcins
01.47Z|0147Z|Élevage de volailles
01.49Z|0149Z|Élevage d'autres animaux
01.50Z|0150Z|Culture et élevage associés
01.61Z|0161Z|Activités de soutien aux cultures
01.62Z|0162Z|Activités de soutien à la production animale
01.63Z|0163Z|Traitement primaire des récoltes
01.64Z|0164Z|Traitement des semences
01.70Z|0170Z|Chasse, piégeage et services annexes
02.10Z|0210Z|Sylviculture et autres activités forestières
02.20Z|0220Z|Exploitation forestière
02.30Z|0230Z|Récolte de produits forestiers non ligneux poussant à l'état sauvage
02.40Z|0240Z|Services de soutien à l'exploitation forestière
03.11Z|0311Z|Pêche en mer
03.12Z|0312Z|Pêche en eau douce
03.21Z|0321Z|Aquaculture en mer
03.22Z|0322Z|Aquaculture en eau douce
05.10Z|0510Z|Extraction de houille
05.20Z|0520Z|Extraction de lignite
06.10Z|0610Z|Extraction de pétrole brut
06.20Z|0620Z|Extraction de gaz naturel
07.10Z|0710Z|Extraction de minerais de fer
07.21Z|0721Z|Extraction de minerais d'uranium et de thorium
07.29Z|0729Z|Extraction d'autres minerais de métaux non ferreux
08.11Z|0811Z|Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise
08.12Z|0812Z|Exploitation de gravières et sablières, extraction d'argiles et de kaolin
08.91Z|0891Z|Extraction des minéraux chimiques et d'engrais minéraux
08.92Z|0892Z|Extraction de tourbe
08.93Z|0893Z|Production de sel
08.99Z|0899Z|Autres activités extractives n.c.a.
09.10Z|0910Z|Activités de soutien à l'extraction d'hydrocarbures
09.90Z|0990Z|Activités de soutien aux autres industries extractives
10.11Z|1011Z|Transformation et conservation de la viande de boucherie
10.12Z|1012Z|Transformation et conservation de la viande de volaille
10.13A|1013A|Préparation industrielle de produits à base de viande
10.13B|1013B|Charcuterie
10.20Z|1020Z|Transformation et conservation de poisson, de crustacés et de mollusques
10.31Z|1031Z|Transformation et conservation de pommes de terre
10.32Z|1032Z|Préparation de jus de fruits et légumes
10.39A|1039A|Autre transformation et conservation de légumes
10.39B|1039B|Transformation et conservation de fruits
10.41A|1041A|Fabrication d'huiles et graisses brutes
10.41B|1041B|Fabrication d'huiles et graisses raffinées
10.42Z|1042Z|Fabrication de margarine et graisses comestibles similaires
10.51A|1051A|Fabrication de lait liquide et de produits frais
10.51B|1051B|Fabrication de beurre
10.51C|1051C|Fabrication de fromage
10.51D|1051D|Fabrication d'autres produits laitiers
10.52Z|1052Z|Fabrication de glaces et sorbets
10.61A|1061A|Meunerie
10.61B|1061B|Autres activités du travail des grains
10.62Z|1062Z|Fabrication de produits amylacés
10.71A|1071A|Fabrication industrielle de pain et de pâtisserie fraîche
10.71B|1071B|Cuisson de produits de boulangerie
10.71C|1071C|Boulangerie et boulangerie-pâtisserie
10.71D|1071D|Pâtisserie
10.72Z|1072Z|Fabrication de biscuits, biscottes et pâtisseries de conservation
10.73Z|1073Z|Fabrication de pâtes alimentaires
10.81Z|1081Z|Fabrication de sucre
10.82Z|1082Z|Fabrication de cacao, chocolat et de produits de confiserie
10.83Z|1083Z|Transformation du thé et du café
10.84Z|1084Z|Fabrication de condiments et assaisonnements
10.85Z|1085Z|Fabrication de plats préparés
10.86Z|1086Z|Fabrication d'aliments homogénéisés et diététiques
10.89Z|1089Z|Fabrication d'autres produits alimentaires n.c.a.
10.91Z|1091Z|Fabrication d'aliments pour animaux de ferme
10.92Z|1092Z|Fabrication d'aliments pour animaux de compagnie
11.01Z|1101Z|Production de boissons alcooliques distillées
11.02A|1102A|Fabrication de vins effervescents
11.02B|1102B|Vinification
11.03Z|1103Z|Fabrication de cidre et de vins de fruits
11.04Z|1104Z|Production d'autres boissons fermentées non distillées
11.05Z|1105Z|Fabrication de bière
11.06Z|1106Z|Fabrication de malt
11.07A|1107A|Industrie des eaux de table
11.07B|1107B|Production de boissons rafraîchissantes
12.00Z|1200Z|Fabrication de produits à base de tabac
13.10Z|1310Z|Préparation de fibres textiles et filature
13.20Z|1320Z|Tissage
13.30Z|1330Z|Ennoblissement textile
13.91Z|1391Z|Fabrication d'étoffes à mailles
13.92Z|1392Z|Fabrication d'articles textiles, sauf habillement
13.93Z|1393Z|Fabrication de tapis et moquettes
13.94Z|1394Z|Fabrication de ficelles, cordes et filets
13.95Z|1395Z|Fabrication de non-tissés, sauf habillement
13.96Z|1396Z|Fabrication d'autres textiles techniques et industriels
13.99Z|1399Z|Fabrication d'autres textiles n.c.a.
14.11Z|1411Z|Fabrication de vêtements en cuir
14.12Z|1412Z|Fabrication de vêtements de travail
14.13Z|1413Z|Fabrication de vêtements de dessus
14.14Z|1414Z|Fabrication de vêtements de dessous
14.19Z|1419Z|Fabrication d'autres vêtements et accessoires
14.20Z|1420Z|Fabrication d'articles en fourrure
14.31Z|1431Z|Fabrication d'articles chaussants à mailles
14.39Z|1439Z|Fabrication d'autres articles à mailles
15.11Z|1511Z|Apprêt et tannage des cuirs ; préparation et teinture des fourrures
15.12Z|1512Z|Fabrication d'articles de voyage, de maroquinerie et de sellerie
15.20Z|1520Z|Fabrication de chaussures
16.10A|1610A|Sciage et rabotage du bois, hors imprégnation
16.10B|1610B|Imprégnation du bois
16.21Z|1621Z|Fabrication de placage et de panneaux de bois
16.22Z|1622Z|Fabrication de parquets assemblés
16.23Z|1623Z|Fabrication de charpentes et d'autres menuiseries
16.24Z|1624Z|Fabrication d'emballages en bois
16.29Z|1629Z|Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie
17.11Z|1711Z|Fabrication de pâte à papier
17.12Z|1712Z|Fabrication de papier et de carton
17.21A|1721A|Fabrication de carton ondulé
17.21B|1721B|Fabrication de cartonnages
17.21C|1721C|Fabrication d'emballages en papier
17.22Z|1722Z|Fabrication d'articles en papier à usage sanitaire ou domestique
17.23Z|1723Z|Fabrication d'articles de papeterie
17.24Z|1724Z|Fabrication de papiers peints
17.29Z|1729Z|Fabrication d'autres articles en papier ou en carton
18.11Z|1811Z|Imprimerie de journaux
18.12Z|1812Z|Autre imprimerie (labeur)
18.13Z|1813Z|Activités de pré-presse
18.14Z|1814Z|Reliure et activités connexes
18.20Z|1820Z|Reproduction d'enregistrements
19.10Z|1910Z|Cokéfaction
19.20Z|1920Z|Raffinage du pétrole
20.11Z|2011Z|Fabrication de gaz industriels
20.12Z|2012Z|Fabrication de colorants et de pigments
20.13A|2013A|Enrichissement et retraitement de matières nucléaires
20.13B|2013B|Fabrication d'autres produits chimiques inorganiques de base n.c.a.
20.14Z|2014Z|Fabrication d'autres produits chimiques organiques de base
20.15Z|2015Z|Fabrication de produits azotés et d'engrais
20.16Z|2016Z|Fabrication de matières plastiques de base
20.17Z|2017Z|Fabrication de caoutchouc synthétique
20.20Z|2020Z|Fabrication de pesticides et d'autres produits agrochimiques
20.30Z|2030Z|Fabrication de peintures, vernis, encres et mastics
20.41Z|2041Z|Fabrication de savons, détergents et produits d'entretien
20.42Z|2042Z|Fabrication de parfums et de produits pour la toilette
20.51Z|2051Z|Fabrication de produits explosifs
20.52Z|2052Z|Fabrication de colles
20.53Z|2053Z|Fabrication d'huiles essentielles
