NAF|NAF_alternatif|label
0111Z|01.11Z|Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses
0112Z|01.12Z|Culture du riz
0113Z|01.13Z|Culture de légumes, de melons, de racines et de tubercules
0114Z|01.14Z|Culture de la canne à sucre
0115Z|01.15Z|Culture du tabac
0116Z|01.16Z|Culture de plantes à fibres
0119Z|01.19Z|Autres cultures non permanentes
0121Z|01.21Z|Culture de la vigne
0122Z|01.22Z|Culture de fruits tropicaux et subtropicaux
0123Z|01.23Z|Culture d'agrumes
0124Z|01.24Z|Culture de fruits à pépins et à noyau
0125Z|01.25Z|Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque
0126Z|01.26Z|Culture de fruits oléagineux
0127Z|01.27Z|Culture de plantes à boissons
0128Z|01.28Z|Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques
0129Z|01.29Z|Autres cultures permanentes
0130Z|01.30Z|Reproduction de plantes
0141Z|01.41Z|Élevage de vaches laitières
0142Z|01.42Z|Élevage d'autres bovins et de buffles
0143Z|01.43Z|Élevage de chevaux et d'autres équidés
0144Z|01.44Z|Élevage de chameaux et d'autres camélidés
0145Z|01.45Z|Élevage d'ovins et de caprins
0146Z|01.46Z|Élevage de porcins
0147Z|01.47Z|Élevage de volailles
0149Z|01.49Z|Élevage d'autres animaux
0150Z|01.50Z|Culture et élevage associés
0161Z|01.61Z|Activités de soutien aux cultures
0162Z|01.62Z|Activités de soutien à la production animale
0163Z|01.63Z|Traitement primaire des récoltes
0164Z|01.64Z|Traitement des semences
0170Z|01.70Z|Chasse, piégeage et services annexes
0210Z|02.10Z|Sylviculture et autres activités forestières
0220Z|02.20Z|Exploitation forestière
0230Z|02.30Z|Récolte de produits forestiers non ligneux poussant à l'état sauvage
0240Z|02.40Z|Services de soutien à l'exploitation forestière
0311Z|03.11Z|Pêche en mer
0312Z|03.12Z|Pêche en eau douce
0321Z|03.21Z|Aquaculture en mer
0322Z|03.22Z|Aquaculture en eau douce
0510Z|05.10Z|Extraction de houille
0520Z|05.20Z|Extraction de lignite
0610Z|06.10Z|Extraction de pétrole brut
0620Z|06.20Z|Extraction de gaz naturel
0710Z|07.10Z|Extraction de minerais de fer
0721Z|07.21Z|Extraction de minerais d'uranium et de thorium
0729Z|07.29Z|Extraction d'autres minerais de métaux non ferreux
0811Z|08.11Z|Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise
0812Z|08.12Z|Exploitation de gravières et sablières, extraction d'argiles et de kaolin
0891Z|08.91Z|Extraction des minéraux chimiques et d'engrais minéraux
0892Z|08.92Z|Extraction de tourbe
0893Z|08.93Z|Production de sel
0899Z|08.99Z|Autres activités extractives n.c.a.
0910Z|09.10Z|Activités de soutien à l'extraction d'hydrocarbures
0990Z|09.90Z|Activités de soutien aux autres industries extractives
1011Z|10.11Z|Transformation et conservation de la viande de boucherie
1012Z|10.12Z|Transformation et conservation de la viande de volaille
1013A|10.13A|Préparation industrielle de produits à base de viande
1013B|10.13B|Charcuterie
1020Z|10.20Z|Transformation et conservation de poisson, de crustacés et de mollusques
1031Z|10.31Z|Transformation et conservation de pommes de terre
1032Z|10.32Z|Préparation de jus de fruits et légumes
1039A|10.39A|Autre transformation et conservation de légumes
1039B|10.39B|Transformation et conservation de fruits
1041A|10.41A|Fabrication d'huiles et graisses brutes
1041B|10.41B|Fabrication d'huiles et graisses raffinées
1042Z|10.42Z|Fabrication de margarine et graisses comestibles similaires
1051A|10.51A|Fabrication de lait liquide et de produits frais
1051B|10.51B|Fabrication de beurre
1051C|10.51C|Fabrication de fromage
1051D|10.51D|Fabrication d'autres produits laitiers
1052Z|10.52Z|Fabrication de glaces et sorbets
1061A|10.61A|Meunerie
1061B|10.61B|Autres activités du travail des grains
1062Z|10.62Z|Fabrication de produits amylacés
1071A|10.71A|Fabrication industrielle de pain et de pâtisserie fraîche
1071B|10.71B|Cuisson de produits de boulangerie
1071C|10.71C|Boulangerie et boulangerie-pâtisserie
1071D|10.71D|Pâtisserie
1072Z|10.72Z|Fabrication de biscuits, biscottes et pâtisseries de conservation
1073Z|10.73Z|Fabrication de pâtes alimentaires
1081Z|10.81Z|Fabrication de sucre
1082Z|10.82Z|Fabrication de cacao, chocolat et de produits de confiserie
1083Z|10.83Z|Transformation du thé et du café
1084Z|10.84Z|Fabrication de condiments et assaisonnements
1085Z|10.85Z|Fabrication de plats préparés
1086Z|10.86Z|Fabrication d'aliments homogénéisés et diététiques
1089Z|10.89Z|Fabrication d'autres produits alimentaires n.c.a.
1091Z|10.91Z|Fabrication d'aliments pour animaux de ferme
1092Z|10.92Z|Fabrication d'aliments pour animaux de compagnie
1101Z|11.01Z|Production de boissons alcooliques distillées
1102A|11.02A|Fabrication de vins effervescents
1102B|11.02B|Vinification
1103Z|11.03Z|Fabrication de cidre et de vins de fruits
1104Z|11.04Z|Production d'autres boissons fermentées non distillées
1105Z|11.05Z|Fabrication de bière
1106Z|11.06Z|Fabrication de malt
1107A|11.07A|Industrie des eaux de table
1107B|11.07B|Production de boissons rafraîchissantes
1200Z|12.00Z|Fabrication de produits à base de tabac
1310Z|13.10Z|Préparation de fibres textiles et filature
1320Z|13.20Z|Tissage
1330Z|13.30Z|Ennoblissement textile
1391Z|13.91Z|Fabrication d'étoffes à mailles
1392Z|13.92Z|Fabrication d'articles textiles, sauf habillement
1393Z|13.93Z|Fabrication de tapis et moquettes
1394Z|13.94Z|Fabrication de ficelles, cordes et filets
1395Z|13.95Z|Fabrication de non-tissés, sauf habillement
1396Z|13.96Z|Fabrication d'autres textiles techniques et industriels
1399Z|13.99Z|Fabrication d'autres textiles n.c.a.
1411Z|14.11Z|Fabrication de vêtements en cuir
1412Z|14.12Z|Fabrication de vêtements de travail
1413Z|14.13Z|Fabrication de vêtements de dessus
1414Z|14.14Z|Fabrication de vêtements de dessous
1419Z|14.19Z|Fabrication d'autres vêtements et accessoires
1420Z|14.20Z|Fabrication d'articles en fourrure
1431Z|14.31Z|Fabrication d'articles chaussants à mailles
1439Z|14.39Z|Fabrication d'autres articles à mailles
1511Z|15.11Z|Apprêt et tannage des cuirs ; préparation et teinture des fourrures
1512Z|15.12Z|Fabrication d'articles de voyage, de maroquinerie et de sellerie
1520Z|15.20Z|Fabrication de chaussures
1610A|16.10A|Sciage et rabotage du bois, hors imprégnation
1610B|16.10B|Imprégnation du bois
1621Z|16.21Z|Fabrication de placage et de panneaux de bois
1622Z|16.22Z|Fabrication de parquets assemblés
1623Z|16.23Z|Fabrication de charpentes et d'autres menuiseries
1624Z|16.24Z|Fabrication d'emballages en bois
1629Z|16.29Z|Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie
1711Z|17.11Z|Fabrication de pâte à papier
1712Z|17.12Z|Fabrication de papier et de carton
1721A|17.21A|Fabrication de carton ondulé
1721B|17.21B|Fabrication de cartonnages
1721C|17.21C|Fabrication d'emballages en papier
1722Z|17.22Z|Fabrication d'articles en papier à usage sanitaire ou domestique
1723Z|17.23Z|Fabrication d'articles de papeterie
1724Z|17.24Z|Fabrication de papiers peints
1729Z|17.29Z|Fabrication d'autres articles en papier ou en carton
1811Z|18.11Z|Imprimerie de journaux
1812Z|18.12Z|Autre imprimerie (labeur)
1813Z|18.13Z|Activités de pré-presse
1814Z|18.14Z|Reliure et activités connexes
1820Z|18.20Z|Reproduction d'enregistrements
1910Z|19.10Z|Cokéfaction
1920Z|19.20Z|Raffinage du pétrole
2011Z|20.11Z|Fabrication de gaz industriels
2012Z|20.12Z|Fabrication de colorants et de pigments
2013A|20.13A|Enrichissement et retraitement de matières nucléaires
2013B|20.13B|Fabrication d'autres produits chimiques inorganiques de base n.c.a.
2014Z|20.14Z|Fabrication d'autres produits chimiques organiques de base
2015Z|20.15Z|Fabrication de produits azotés et d'engrais
2016Z|20.16Z|Fabrication de matières plastiques de base
2017Z|20.17Z|Fabrication de caoutchouc synthétique
2020Z|20.20Z|Fabrication de pesticides et d'autres produits agrochimiques
2030Z|20.30Z|Fabrication de peintures, vernis, encres et mastics
2041Z|20.41Z|Fabrication de savons, détergents et produits d'entretien
2042Z|20.42Z|Fabrication de parfums et de produits pour la toilette
2051Z|20.51Z|Fabrication de produits explosifs
2052Z|20.52Z|Fabrication de colles
2053Z|20.53Z|Fabrication d'huiles essentielles
