OGR|ROME1|ROME2|ROME3|label|ROME|slugs
11987|A|11|01|Chauffeur / Chauffeuse de machines agricoles|A1101|chauffeur-chauffeuse-de-machines-agricoles
12862|A|11|01|Conducteur / Conductrice d'abatteuses|A1101|conducteur-conductrice-d-abatteuses
38874|A|11|01|Conducteur / Conductrice d'automoteur de récolte|A1101|conducteur-conductrice-d-automoteur-de-recolte
13232|A|11|01|Conducteur / Conductrice de machines à vendanger|A1101|conducteur-conductrice-de-machines-a-vendanger
38878|A|11|01|Conducteur / Conductrice de matériels de semis|A1101|conducteur-conductrice-de-materiels-de-semis
38875|A|11|01|Conducteur / Conductrice de pulvérisateur|A1101|conducteur-conductrice-de-pulverisateur
13197|A|11|01|Conducteur / Conductrice de tête d'abattage|A1101|conducteur-conductrice-de-tete-d-abattage
13201|A|11|01|Conducteur / Conductrice de tracteur|A1101|conducteur-conductrice-de-tracteur
38879|A|11|01|Conducteur / Conductrice de tracto-benne|A1101|conducteur-conductrice-de-tracto-benne
13248|A|11|01|Conducteur / Conductrice d'engins de débardage|A1101|conducteur-conductrice-d-engins-de-debardage
13254|A|11|01|Conducteur / Conductrice d'engins d'exploitation agricole|A1101|conducteur-conductrice-d-engins-d-exploitation-agricole
13255|A|11|01|Conducteur / Conductrice d'engins d'exploitation forestière|A1101|conducteur-conductrice-d-engins-d-exploitation-forestiere
13256|A|11|01|Conducteur / Conductrice d'engins forestiers|A1101|conducteur-conductrice-d-engins-forestiers
38877|A|11|01|Conducteur / Conductrice d'épareuse|A1101|conducteur-conductrice-d-epareuse
13886|A|11|01|Débardeur / Débardeuse|A1101|debardeur-debardeuse
13887|A|11|01|Débardeur forestier / Débardeuse forestière|A1101|debardeur-forestier-debardeuse-forestiere
17055|A|11|01|Opérateur / Opératrice d'abatteuse|A1101|operateur-operatrice-d-abatteuse
38876|A|11|01|Opérateur / Opératrice d'épandage|A1101|operateur-operatrice-d-epandage
17751|A|11|01|Pilote de machines d'abattage|A1101|pilote-de-machines-d-abattage
