code,ROME1,ROME2,ROME3,label,ROME
11987,A,11,01,Chauffeur / Chauffeuse de machines agricoles,A1101
12862,A,11,01,Conducteur / Conductrice d'abatteuses,A1101
38874,A,11,01,Conducteur / Conductrice d'automoteur de récolte,A1101
13232,A,11,01,Conducteur / Conductrice de machines à vendanger,A1101
38878,A,11,01,Conducteur / Conductrice de matériels de semis,A1101
38875,A,11,01,Conducteur / Conductrice de pulvérisateur,A1101
13197,A,11,01,Conducteur / Conductrice de tête d'abattage,A1101
13201,A,11,01,Conducteur / Conductrice de tracteur,A1101
38879,A,11,01,Conducteur / Conductrice de tracto-benne,A1101
13248,A,11,01,Conducteur / Conductrice d'engins de débardage,A1101
13254,A,11,01,Conducteur / Conductrice d'engins d'exploitation agricole,A1101
13255,A,11,01,Conducteur / Conductrice d'engins d'exploitation forestière,A1101
13256,A,11,01,Conducteur / Conductrice d'engins forestiers,A1101
38877,A,11,01,Conducteur / Conductrice d'épareuse,A1101
13886,A,11,01,Débardeur / Débardeuse,A1101
13887,A,11,01,Débardeur forestier / Débardeuse forestière,A1101
17055,A,11,01,Opérateur / Opératrice d'abatteuse,A1101
38876,A,11,01,Opérateur / Opératrice d'épandage,A1101
17751,A,11,01,Pilote de machines d'abattage,A1101
20404,A,11,01,Tractoriste agricole,A1101
20405,A,11,01,Tractoriste forestier / Tractoriste forestière,A1101
11105,A,12,01,Arboriste,A1201
11106,A,12,01,Arboriste grimpeur / grimpeuse,A1201
11606,A,12,01,Bûcheron / Bûcheronne,A1201
11607,A,12,01,Bûcheron élagueur / Bûcheronne élagueuse,A1201
11740,A,12,01,Charbonnier / Charbonnière,A1201
12755,A,12,01,Commis / Commise de coupe,A1201
14607,A,12,01,Ehouppeur / Ehouppeuse,A1201
14608,A,12,01,Elagueur / Elagueuse,A1201
14609,A,12,01,Elagueur / Elagueuse espaces verts,A1201
14610,A,12,01,Elagueur-botteur / Elagueuse-botteuse,A1201
14611,A,12,01,Elagueur-grimpeur / Elagueuse-grimpeuse,A1201
15429,A,12,01,Grimpeur-élagueur / Grimpeuse-élagueuse,A1201
38435,A,12,01,Homme / Femme de pied,A1201
17483,A,12,01,Ouvrier / Ouvrière d'exploitation forestière,A1201
10382,A,12,02,"Agent / Agente d'aménagement des circuits pédestres, équestres et Vtt",A1202
10383,A,12,02,Agent / Agente d'aménagement des haies et fossés,A1202
10664,A,12,02,Agent / Agente d'entretien de la nature,A1202
10667,A,12,02,Agent / Agente d'entretien de l'espace rural,A1202
10673,A,12,02,Agent / Agente d'entretien des espaces naturels,A1202
10677,A,12,02,Agent / Agente d'entretien des rivières,A1202
10685,A,12,02,Agent / Agente d'entretien nature du littoral,A1202
38323,A,12,02,Agent / Agente d'entretien nature et biodiversité,A1202
12440,A,12,02,Chef d'équipe d'entretien d'espaces naturels,A1202
17474,A,12,02,Ouvrier / Ouvrière d'entretien des espaces naturels,A1202
10675,A,12,03,Agent / Agente d'entretien des parcs et jardins,A1203
38436,A,12,03,Aide jardinier / jardinière,A1203
12439,A,12,03,Chef d'équipe d'entretien des espaces verts,A1203
12482,A,12,03,Chef d'équipe paysagiste,A1203
16067,A,12,03,Jardinier / Jardinière,A1203
16068,A,12,03,Jardinier / Jardinière d'espaces verts,A1203
16069,A,12,03,Jardinier / Jardinière paysagiste,A1203
38437,A,12,03,Manoeuvre des espaces verts,A1203
17475,A,12,03,Ouvrier / Ouvrière d'entretien des espaces verts,A1203
17480,A,12,03,Ouvrier / Ouvrière des espaces verts,A1203
17487,A,12,03,Ouvrier / Ouvrière du paysage,A1203
