code,code1,code2,code3,label,slug
A1101,A,11,01,Conduite d'engins agricoles et forestiers,conduite-d-engins-agricoles-et-forestiers
A1201,A,12,01,Bûcheronnage et élagage,bucheronnage-et-elagage
A1202,A,12,02,Entretien des espaces naturels,entretien-des-espaces-naturels
A1203,A,12,03,Entretien des espaces verts,entretien-des-espaces-verts
A1204,A,12,04,Protection du patrimoine naturel,protection-du-patrimoine-naturel
A1205,A,12,05,Sylviculture,sylviculture
A1301,A,13,01,Conseil et assistance technique en agriculture,conseil-et-assistance-technique-en-agriculture
A1302,A,13,02,Contrôle et diagnostic technique en agriculture,controle-et-diagnostic-technique-en-agriculture
A1303,A,13,03,Ingénierie en agriculture et environnement naturel,ingenierie-en-agriculture-et-environnement-naturel
A1401,A,14,01,Aide agricole de production fruitière ou viticole,aide-agricole-de-production-fruitiere-ou-viticole
A1402,A,14,02,Aide agricole de production légumière ou végétale,aide-agricole-de-production-legumiere-ou-vegetale
A1403,A,14,03,Aide d'élevage agricole et aquacole,aide-d-elevage-agricole-et-aquacole
A1404,A,14,04,Aquaculture,aquaculture
A1405,A,14,05,Arboriculture et viticulture,arboriculture-et-viticulture
A1406,A,14,06,Encadrement équipage de la pêche,encadrement-equipage-de-la-peche
A1407,A,14,07,Élevage bovin ou équin,elevage-bovin-ou-equin
A1408,A,14,08,Élevage d'animaux sauvages ou de compagnie,elevage-d-animaux-sauvages-ou-de-compagnie
A1409,A,14,09,Élevage de lapins et volailles,elevage-de-lapins-et-volailles
A1410,A,14,10,Élevage ovin ou caprin,elevage-ovin-ou-caprin
A1411,A,14,11,Élevage porcin,elevage-porcin
A1412,A,14,12,Fabrication et affinage de fromages,fabrication-et-affinage-de-fromages
A1413,A,14,13,Fermentation de boissons alcoolisées,fermentation-de-boissons-alcoolisees
A1414,A,14,14,Horticulture et maraîchage,horticulture-et-maraichage
A1415,A,14,15,Equipage de la pêche,equipage-de-la-peche
A1416,A,14,16,"Polyculture, élevage",polyculture-elevage
A1417,A,14,17,Saliculture,saliculture
A1501,A,15,01,Aide aux soins animaux,aide-aux-soins-animaux
A1502,A,15,02,Podologie animale,podologie-animale
A1503,A,15,03,Toilettage des animaux,toilettage-des-animaux
A1504,A,15,04,Santé animale,sante-animale
B1101,B,11,01,Création en arts plastiques,creation-en-arts-plastiques
B1201,B,12,01,Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse,realisation-d-objets-decoratifs-et-utilitaires-en-ceramique-et-materiaux-de-synthese
B1301,B,13,01,Décoration d'espaces de vente et d'exposition,decoration-d-espaces-de-vente-et-d-exposition
B1302,B,13,02,Décoration d'objets d'art et artisanaux,decoration-d-objets-d-art-et-artisanaux
B1303,B,13,03,Gravure - ciselure,gravure-ciselure
B1401,B,14,01,"Réalisation d'objets en lianes, fibres et brins végétaux",realisation-d-objets-en-lianes-fibres-et-brins-vegetaux
B1402,B,14,02,Reliure et restauration de livres et archives,reliure-et-restauration-de-livres-et-archives
B1501,B,15,01,Fabrication et réparation d'instruments de musique,fabrication-et-reparation-d-instruments-de-musique
