code_insee,code_bassin
01001,8401
01002,8403
01003,8437
01004,8403
01005,8437
01006,8404
01007,8403
01008,8403
01009,8404
01010,8404
01011,8402
01012,8404
01013,8403
01014,8402
01015,8404
01016,8401
01017,8403
01018,8438
01019,8404
01020,8401
01021,8437
01022,8404
01023,8401
01024,8401
01025,8401
01026,8401
01027,8403
01028,8437
01029,8401
01030,8437
01031,8402
01032,8403
01033,8438
01034,8404
01035,8402
01036,8404
01037,8404
01038,8401
01039,8404
01040,8401
01041,8403
01042,8401
01043,8403
01044,8438
01045,8437
01046,8401
01047,8403
01048,8401
01049,8403
01050,8401
01051,8402
01052,8437
01053,8401
01054,8403
01055,8402
01056,8403
01057,8401
01058,8404
01059,8404
01060,8402
01061,8404
01062,8403
01063,8402
01064,8404
01065,8401
01066,8404
01067,8402
01068,8403
01069,8401
01070,8437
01071,8438
01072,8401
01073,8404
01074,8403
01075,8437
01076,8403
01077,8403
01078,8438
01079,8404
01080,8402
01081,8438
01082,8404
01083,8437
01084,8401
01085,8437
01086,8404
01087,8402
01088,8403
01089,8403
01090,8403
01091,8438
01092,8403
01093,8401
01094,8401
01095,8401
01096,8401
01097,8404
01098,8404
01099,8403
01100,8404
01101,8402
01102,8401
01103,8438
01104,8438
01105,8437
01106,8401
01107,8403
01108,8401
01109,8438
01110,8404
01111,8403
01112,8402
01113,8401
01114,8438
01115,8401
01116,8404
01117,8404
01118,8404
01119,8402
01120,8403
01121,8404
01122,8404
01123,8401
01124,8401
01125,8401
01126,8438
01127,8401
01128,8401
01129,8403
01130,8401
01131,8438
01133,8404
01134,8401
01135,8438
01136,8401
01137,8401
01138,8404
01139,8401
01140,8401
01141,8404
01142,8403
01143,8438
01144,8401
01145,8401
01146,8401
01147,8401
01148,8402
01149,8403
01150,8401
01151,8401
01152,8402
01153,8438
01154,8401
01155,8403
01156,8403
01157,8437
01158,8438
01159,8401
01160,8438
01161,8404
01162,8404
01163,8401
01164,8438
01165,8437
01166,8437
01167,8437
01169,8437
01170,8402
01171,8402
01172,8401
01173,8438
01174,8438
01175,8401
01176,8402
01177,8401
01178,8402
01179,8401
01180,8438
01181,8402
01182,8404
01183,8437
01184,8401
01185,8404
01186,8403
01187,8402
01188,8437
01189,8438
01190,8404
01191,8402
01192,8402
01193,8404
01194,8437
01195,8401
01196,8401
01197,8401
01198,8403
01199,8403
01200,8403
01201,8404
01202,8403
01203,8401
01204,8402
01205,8438
01206,8402
01207,8437
01208,8404
01209,8438
01210,8438
01211,8401
01212,8401
01213,8403
01214,8402
01215,8438
01216,8404
01217,8404
01218,8404
01219,8404
01220,8404
01221,8404
01222,8404
01223,8403
01224,8403
01225,8437
01226,8404
01227,8404
01228,8402
01229,8401
01230,8401
01231,8401
01232,8401
01233,8404
01234,8404
01235,8437
01236,8401
01237,8402
01238,8437
01239,8404
01240,8402
01241,8401
01242,8403
01243,8437
01244,8403
01245,8401
01246,8401
01247,8438
01248,8437
01249,8403
01250,8437
01251,8438
01252,8437
01253,8403
01254,8401
01255,8404
01257,8438
01258,8437
01259,8401
01260,8403
01261,8437
01262,8403
01263,8437
01264,8401
01265,8402
01266,8401
01267,8402
01268,8404
01269,8402
01270,8402
01271,8404
01272,8401
01273,8403
01274,8402
01275,8403
01276,8403
01277,8403
01278,8438
01279,8403
01280,8404
01281,8438
01282,8402
01283,8402
01284,8401
01285,8437
01286,8404
01287,8404
01288,8438
01289,8401
01290,8403
01291,8401
01292,8402
01293,8402
01294,8404
01295,8437
01296,8401
01297,8403
01298,8438
01299,8403
01300,8402
01301,8401
01302,8404
01303,8403
01304,8403
01305,8401
01306,8401
01307,8402
01308,8438
01309,8401
01310,8404
01311,8404
01312,8401
01313,8438
01314,8403
01315,8403
01316,8404
01317,8401
01318,8437
01319,8437
01320,8401
01321,8401
01322,8437
01323,8401
01324,8401
01325,8403
01327,8401
01328,8401
01329,8404
01330,8404
01331,8403
01332,8401
01333,8437
01334,8401
01335,8401
01336,8401
01337,8401
01338,8404
01339,8437
01340,8404
01341,8404
01342,8403
01343,8401
01344,8401
01345,8403
01346,8401
01347,8437
01348,8437
01349,8403
01350,8401
01351,8437
01352,8401
01353,8437
01354,8438
01355,8401
01356,8401
01357,8438
01358,8404
01359,8437
01360,8438
01361,8403
01362,8437
01363,8403
01364,8401
01365,8401
01366,8403
01367,8401
01368,8401
01369,8401
01370,8401
01371,8437
01372,8404
01373,8402
01374,8401
01375,8401
01376,8403
01377,8401
01378,8403
01379,8403
01380,8401
01381,8403
01382,8437
01383,8401
01384,8403
01385,8401
01386,8403
01387,8401
01388,8401
01389,8437
01390,8403
01391,8401
01392,8402
01393,8401
01396,8403
01397,8438
01398,8437
01399,8438
01400,8404
01401,8438
01402,8401
01403,8404
01404,8403
01405,8401
01406,8401
01407,8404
01408,8401
01409,8402
01410,8402
01411,8403
01412,8401
01413,8438
01414,8404
01415,8404
01416,8403
01417,8404
01418,8403
01419,8438
01420,8437
01421,8403
01422,8401
01423,8437
01424,8437
01425,8401
01426,8401
01427,8437
01428,8437
01429,8401
01430,8403
01431,8403
01432,8401
01433,8401
01434,8403
01435,8438
01436,8438
01437,8401
01438,8438
01439,8401
01440,8402
01441,8402
01442,8404
01443,8437
01444,8403
01445,8401
01446,8437
01447,8401
01448,8438
01449,8403
01450,8403
01451,8401
01452,8404
01453,8404
01454,8404
01455,8402
01456,8404
01457,8401
01458,8438
01459,8404
02001,3205
02002,3205
02003,3207
02004,3212
02005,3212
02006,3206
02007,3212
02008,3207
02009,3204
02010,3207
02011,3207
02012,3207
02013,3212
02014,3205
02015,3207
02016,3205
02017,3205
02018,3212
02019,3204
02020,3206
02021,3212
02022,3207
02023,3208
02024,3212
02025,3204
02026,3208
02027,3212
02028,3212
02029,3204
02030,3204
02031,3206
02032,3204
02033,3212
02034,3205
02035,3206
02036,3207
02037,3212
02038,3212
02039,3212
02040,3206
02041,3205
02042,3208
02043,3207
02044,3206
02045,3207
02046,3212
02047,3212
02048,3212
02049,3205
02050,3206
02051,3208
02052,3212
02053,3208
02054,3207
02055,3206
02056,3205
02057,3204
02058,3212
02059,3205
02060,3204
02061,3204
02062,3208
02063,3204
02064,3207
02065,3204
02066,3204
02067,3206
02068,3206
02069,3212
02070,3206
02071,3207
02072,3212
02073,3212
02074,3205
02075,3204
02076,3212
02077,3207
02078,3205
02079,3206
02080,3212
02081,3205
02082,3207
02083,3208
02084,3208
02085,3208
02086,3205
02087,3207
02088,3212
02089,3207
02090,3207
02091,3207
02092,3205
02093,3205
02094,3208
02095,3204
02096,3212
02097,3212
02098,3208
02099,3208
02100,3204
02101,3212
02102,3212
02103,3206
02104,3212
02105,3208
02106,3212
02107,3205
02108,3212
02109,3206
02110,3207
