code_bassin_emploi,rome,rome_connexe,score
101,A1201,A1101,.31320018
101,A1201,D1102,.14579003
101,A1201,D1104,.24848934
101,A1202,F1604,.55597913
101,A1202,A1101,.74519646
101,A1202,F1611,.39435071
101,A1203,I1604,.93828511
101,A1203,F1703,.76254612
101,A1203,F1611,.99180824
101,A1204,K2111,.7363221
101,A1204,I1604,.57530636
101,A1205,D1104,.19240755
101,A1205,D1102,.84404022
101,A1205,A1101,.38178596
101,B1101,I1604,.19514006
101,B1101,D1104,.86035836
101,B1101,H2206,.71950775
101,B1201,H3302,.9509598
101,B1201,K2111,.92824268
101,B1301,J1405,.29044542
101,B1301,D1101,.1179343
101,B1301,D1102,.16786167
101,B1302,H3302,.81908238
101,B1302,H2206,.82056952
101,B1303,F1703,.48820964
101,B1303,H3302,.92375106
101,B1303,F1604,.015775545
101,C1201,G1303,.27048662
101,C1202,M1805,.58597064
101,C1202,J1405,.27100435
101,C1202,K2111,.57426584
101,C1203,G1303,.053903509
101,C1203,M1805,.33417276
101,C1204,K2111,.55831921
101,C1205,K2111,.63954675
101,C1205,G1303,.87675488
101,C1206,M1805,.97476894
101,C1206,G1303,.73816925
101,C1207,M1805,.85099763
101,C1207,K1303,.75927371
101,C1207,K2111,.11803389
101,C1301,K2111,.59397823
101,C1301,K1304,.53342456
101,C1301,K1302,.84402221
101,C1302,K1304,.32503471
101,C1302,M1805,.4445824
101,C1303,M1805,.83745724
101,C1303,K1304,.68010563
101,C1401,K1302,.10096218
101,C1401,K2111,.552706
101,C1401,K1304,.25971559
101,D1301,K2111,.80240798
101,D1301,D1104,.14726979
101,D1301,J1405,.84987134
101,E1101,G1303,.17953202
101,E1102,K1303,.042161096
101,E1102,M1805,.56558025
101,E1103,M1805,.5735938
101,E1104,G1303,.88308197
101,E1104,M1805,.98919177
101,E1105,M1805,.71875381
101,E1106,M1805,.28666803
101,E1106,K2111,.91505563
101,E1107,K2111,.0014044944
101,E1107,G1303,.85233504
101,E1108,F1201,.9402411
101,E1108,K2111,.055078726
101,E1108,I1604,.59442919
101,E1201,D1102,.51522183
101,E1201,D1104,.47419474
101,E1201,N4105,.74313587
101,E1202,H3302,.85336095
101,E1202,M1805,.74136472
101,E1202,K1303,.8442722
101,E1203,J1405,.62263644
101,E1203,D1106,.59974259
101,E1203,I1606,.4311918
101,E1204,G1303,.91116482
101,E1205,I1606,.44682878
101,E1205,K2111,.62135524
101,E1205,M1805,.3112359
101,G1201,I1604,.71465558
101,G1201,K1303,.6859169
101,G1201,K1302,.34151453
101,G1202,M1805,.69068033
101,G1202,K2111,.80438668
101,G1202,K1303,.37911084
101,G1203,K1303,.027242303
101,G1203,G1303,.89451963
101,G1204,K1303,.059608705
101,G1204,M1805,.67573941
101,G1204,J1402,.20156586
101,G1205,I1604,.39076278
101,G1205,F1613,.93900478
101,G1205,F1611,.5478583
101,G1206,K1304,.2343131
101,G1206,K1302,.63470858
101,G1401,M1805,.011996154
101,G1401,D1101,.92271239
101,G1401,D1102,.57045114
101,G1402,D1102,.54266089
101,G1402,D1104,.085780814
101,G1402,J1402,.40180585
101,G1403,K2111,.17933066
101,G1403,J1402,.13180059
101,G1404,D1102,.27217507
101,G1404,M1805,.64351857
101,G1404,D1101,.23307788
101,G1601,D1102,.14773844
101,G1601,D1101,.96805274
101,G1601,D1104,.83833557
101,G1602,J1402,.63646972
101,G1602,D1104,.24402556
