code_insee,rome,rome_connexe,score
01110,F1101,F1102,0.24687100986932609
01110,F1101,F1106,0.8628549091400332
01110,F1101,C1503,0.34131181491522444
01128,F1101,F1102,0.24687100986932609
01128,F1101,F1106,0.8628549091400332
01128,F1101,C1503,0.34131181491522444
02100,F1101,F1102,0.24687100986932609
02100,F1101,F1106,0.8628549091400332
02100,F1101,C1503,0.34131181491522444
02368,F1101,F1102,0.24687100986932609
02368,F1101,F1106,0.8628549091400332
02368,F1101,C1503,0.34131181491522444
02407,F1101,F1102,0.24687100986932609
02407,F1101,F1106,0.8628549091400332
02407,F1101,C1503,0.34131181491522444
02491,F1101,F1102,0.24687100986932609
02491,F1101,F1106,0.8628549091400332
02491,F1101,C1503,0.34131181491522444
02514,F1101,F1102,0.24687100986932609
02514,F1101,F1106,0.8628549091400332
02514,F1101,C1503,0.34131181491522444
06089,F1101,F1102,0.24687100986932609
06089,F1101,F1106,0.8628549091400332
06089,F1101,C1503,0.34131181491522444
06159,F1101,F1102,0.24687100986932609
06159,F1101,F1106,0.8628549091400332
06159,F1101,C1503,0.34131181491522444
08145,F1101,F1102,0.24687100986932609
08145,F1101,F1106,0.8628549091400332
08145,F1101,C1503,0.34131181491522444
08338,F1101,F1102,0.24687100986932609
08338,F1101,F1106,0.8628549091400332
08338,F1101,C1503,0.34131181491522444
09026,F1101,F1102,0.24687100986932609
09026,F1101,F1106,0.8628549091400332
09026,F1101,C1503,0.34131181491522444
09080,F1101,F1102,0.24687100986932609
09080,F1101,F1106,0.8628549091400332
09080,F1101,C1503,0.34131181491522444
10242,F1101,F1102,0.24687100986932609
10242,F1101,F1106,0.8628549091400332
10242,F1101,C1503,0.34131181491522444
10317,F1101,F1102,0.24687100986932609
10317,F1101,F1106,0.8628549091400332
10317,F1101,C1503,0.34131181491522444
10378,F1101,F1102,0.24687100986932609
10378,F1101,F1106,0.8628549091400332
10378,F1101,C1503,0.34131181491522444
11005,F1101,F1102,0.24687100986932609
11005,F1101,F1106,0.8628549091400332
11005,F1101,C1503,0.34131181491522444
11218,F1101,F1102,0.24687100986932609
11218,F1101,F1106,0.8628549091400332
11218,F1101,C1503,0.34131181491522444
11234,F1101,F1102,0.24687100986932609
11234,F1101,F1106,0.8628549091400332
11234,F1101,C1503,0.34131181491522444
17125,F1101,F1102,0.24687100986932609
17125,F1101,F1106,0.8628549091400332
17125,F1101,C1503,0.34131181491522444
18032,F1101,F1102,0.24687100986932609
18032,F1101,F1106,0.8628549091400332
18032,F1101,C1503,0.34131181491522444
18217,F1101,F1102,0.24687100986932609
18217,F1101,F1106,0.8628549091400332
18217,F1101,C1503,0.34131181491522444
19015,F1101,F1102,0.24687100986932609
19015,F1101,F1106,0.8628549091400332
19015,F1101,C1503,0.34131181491522444
19223,F1101,F1102,0.24687100986932609
19223,F1101,F1106,0.8628549091400332
19223,F1101,C1503,0.34131181491522444
21484,F1101,F1102,0.24687100986932609
21484,F1101,F1106,0.8628549091400332
21484,F1101,C1503,0.34131181491522444
21684,F1101,F1102,0.24687100986932609
21684,F1101,F1106,0.8628549091400332
21684,F1101,C1503,0.34131181491522444
22228,F1101,F1102,0.24687100986932609
22228,F1101,F1106,0.8628549091400332
22228,F1101,C1503,0.34131181491522444
23147,F1101,F1102,0.24687100986932609
23147,F1101,F1106,0.8628549091400332
23147,F1101,C1503,0.34131181491522444
24519,F1101,F1102,0.24687100986932609
24519,F1101,F1106,0.8628549091400332
24519,F1101,C1503,0.34131181491522444
25607,F1101,F1102,0.24687100986932609
25607,F1101,F1106,0.8628549091400332
25607,F1101,C1503,0.34131181491522444
26170,F1101,F1102,0.24687100986932609
26170,F1101,F1106,0.8628549091400332
26170,F1101,C1503,0.34131181491522444
26219,F1101,F1102,0.24687100986932609
26219,F1101,F1106,0.8628549091400332
26219,F1101,C1503,0.34131181491522444
26274,F1101,F1102,0.24687100986932609
26274,F1101,F1106,0.8628549091400332
26274,F1101,C1503,0.34131181491522444
27203,F1101,F1102,0.24687100986932609
27203,F1101,F1106,0.8628549091400332
27203,F1101,C1503,0.34131181491522444
32301,F1101,F1102,0.24687100986932609
32301,F1101,F1106,0.8628549091400332
32301,F1101,C1503,0.34131181491522444
33370,F1101,F1102,0.24687100986932609
33370,F1101,F1106,0.8628549091400332
33370,F1101,C1503,0.34131181491522444
33412,F1101,F1102,0.24687100986932609
33412,F1101,F1106,0.8628549091400332
33412,F1101,C1503,0.34131181491522444
33450,F1101,F1102,0.24687100986932609
33450,F1101,F1106,0.8628549091400332
33450,F1101,C1503,0.34131181491522444
34074,F1101,F1102,0.24687100986932609
34074,F1101,F1106,0.8628549091400332
34074,F1101,C1503,0.34131181491522444
35177,F1101,F1102,0.24687100986932609
35177,F1101,F1106,0.8628549091400332
35177,F1101,C1503,0.34131181491522444
37002,F1101,F1102,0.24687100986932609
37002,F1101,F1106,0.8628549091400332
37002,F1101,C1503,0.34131181491522444
39430,F1101,F1102,0.24687100986932609
39430,F1101,F1106,0.8628549091400332
39430,F1101,C1503,0.34131181491522444
39445,F1101,F1102,0.24687100986932609
39445,F1101,F1106,0.8628549091400332
39445,F1101,C1503,0.34131181491522444
40108,F1101,F1102,0.24687100986932609
40108,F1101,F1106,0.8628549091400332
40108,F1101,C1503,0.34131181491522444
45198,F1101,F1102,0.24687100986932609
45198,F1101,F1106,0.8628549091400332
45198,F1101,C1503,0.34131181491522444
45281,F1101,F1102,0.24687100986932609
45281,F1101,F1106,0.8628549091400332
45281,F1101,C1503,0.34131181491522444
46169,F1101,F1102,0.24687100986932609
46169,F1101,F1106,0.8628549091400332
46169,F1101,C1503,0.34131181491522444
47165,F1101,F1102,0.24687100986932609
47165,F1101,F1106,0.8628549091400332
47165,F1101,C1503,0.34131181491522444
50164,F1101,F1102,0.24687100986932609
50164,F1101,F1106,0.8628549091400332
50164,F1101,C1503,0.34131181491522444
50403,F1101,F1102,0.24687100986932609
50403,F1101,F1106,0.8628549091400332
50403,F1101,C1503,0.34131181491522444
51001,F1101,F1102,0.24687100986932609
51001,F1101,F1106,0.8628549091400332
51001,F1101,C1503,0.34131181491522444
51168,F1101,F1102,0.24687100986932609
51168,F1101,F1106,0.8628549091400332
51168,F1101,C1503,0.34131181491522444
51336,F1101,F1102,0.24687100986932609
51336,F1101,F1106,0.8628549091400332
51336,F1101,C1503,0.34131181491522444
52493,F1101,F1102,0.24687100986932609
52493,F1101,F1106,0.8628549091400332
52493,F1101,C1503,0.34131181491522444
54336,F1101,F1102,0.24687100986932609
54336,F1101,F1106,0.8628549091400332
54336,F1101,C1503,0.34131181491522444
54362,F1101,F1102,0.24687100986932609
54362,F1101,F1106,0.8628549091400332
54362,F1101,C1503,0.34131181491522444
55532,F1101,F1102,0.24687100986932609
55532,F1101,F1106,0.8628549091400332
55532,F1101,C1503,0.34131181491522444
56112,F1101,F1102,0.24687100986932609
56112,F1101,F1106,0.8628549091400332
56112,F1101,C1503,0.34131181491522444
57082,F1101,F1102,0.24687100986932609
57082,F1101,F1106,0.8628549091400332
57082,F1101,C1503,0.34131181491522444
57534,F1101,F1102,0.24687100986932609
57534,F1101,F1106,0.8628549091400332
57534,F1101,C1503,0.34131181491522444
57610,F1101,F1102,0.24687100986932609
57610,F1101,F1106,0.8628549091400332
57610,F1101,C1503,0.34131181491522444
59103,F1101,F1102,0.24687100986932609
59103,F1101,F1106,0.8628549091400332
59103,F1101,C1503,0.34131181491522444
59345,F1101,F1102,0.24687100986932609
59345,F1101,F1106,0.8628549091400332
59345,F1101,C1503,0.34131181491522444
62007,F1101,F1102,0.24687100986932609
62007,F1101,F1106,0.8628549091400332
62007,F1101,C1503,0.34131181491522444
62014,F1101,F1102,0.24687100986932609
62014,F1101,F1106,0.8628549091400332
62014,F1101,C1503,0.34131181491522444
62886,F1101,F1102,0.24687100986932609
62886,F1101,F1106,0.8628549091400332
62886,F1101,C1503,0.34131181491522444
63190,F1101,F1102,0.24687100986932609
63190,F1101,F1106,0.8628549091400332
63190,F1101,C1503,0.34131181491522444
64078,F1101,F1102,0.24687100986932609
64078,F1101,F1106,0.8628549091400332
64078,F1101,C1503,0.34131181491522444
64523,F1101,F1102,0.24687100986932609
64523,F1101,F1106,0.8628549091400332
64523,F1101,C1503,0.34131181491522444
66107,F1101,F1102,0.24687100986932609
66107,F1101,F1106,0.8628549091400332
66107,F1101,C1503,0.34131181491522444
66150,F1101,F1102,0.24687100986932609
66150,F1101,F1106,0.8628549091400332
66150,F1101,C1503,0.34131181491522444
67433,F1101,F1102,0.24687100986932609
67433,F1101,F1106,0.8628549091400332
67433,F1101,C1503,0.34131181491522444
68027,F1101,F1102,0.24687100986932609
68027,F1101,F1106,0.8628549091400332
68027,F1101,C1503,0.34131181491522444
70049,F1101,F1102,0.24687100986932609
70049,F1101,F1106,0.8628549091400332
70049,F1101,C1503,0.34131181491522444
70262,F1101,F1102,0.24687100986932609
70262,F1101,F1106,0.8628549091400332
70262,F1101,C1503,0.34131181491522444
71013,F1101,F1102,0.24687100986932609
71013,F1101,F1106,0.8628549091400332
71013,F1101,C1503,0.34131181491522444
71546,F1101,F1102,0.24687100986932609
71546,F1101,F1106,0.8628549091400332
71546,F1101,C1503,0.34131181491522444
72237,F1101,F1102,0.24687100986932609
72237,F1101,F1106,0.8628549091400332
72237,F1101,C1503,0.34131181491522444
72274,F1101,F1102,0.24687100986932609
72274,F1101,F1106,0.8628549091400332
72274,F1101,C1503,0.34131181491522444
73273,F1101,F1102,0.24687100986932609
73273,F1101,F1106,0.8628549091400332
73273,F1101,C1503,0.34131181491522444
74138,F1101,F1102,0.24687100986932609
74138,F1101,F1106,0.8628549091400332
74138,F1101,C1503,0.34131181491522444
74205,F1101,F1102,0.24687100986932609
74205,F1101,F1106,0.8628549091400332
74205,F1101,C1503,0.34131181491522444
76054,F1101,F1102,0.24687100986932609
76054,F1101,F1106,0.8628549091400332
76054,F1101,C1503,0.34131181491522444
77053,F1101,F1102,0.24687100986932609
77053,F1101,F1106,0.8628549091400332
77053,F1101,C1503,0.34131181491522444
77139,F1101,F1102,0.24687100986932609
77139,F1101,F1106,0.8628549091400332
77139,F1101,C1503,0.34131181491522444
78057,F1101,F1102,0.24687100986932609
78057,F1101,F1106,0.8628549091400332
78057,F1101,C1503,0.34131181491522444
79111,F1101,F1102,0.24687100986932609
79111,F1101,F1106,0.8628549091400332
79111,F1101,C1503,0.34131181491522444
79225,F1101,F1102,0.24687100986932609
79225,F1101,F1106,0.8628549091400332
79225,F1101,C1503,0.34131181491522444
80668,F1101,F1102,0.24687100986932609
80668,F1101,F1106,0.8628549091400332
80668,F1101,C1503,0.34131181491522444
81106,F1101,F1102,0.24687100986932609
81106,F1101,F1106,0.8628549091400332
81106,F1101,C1503,0.34131181491522444
82050,F1101,F1102,0.24687100986932609
82050,F1101,F1106,0.8628549091400332
82050,F1101,C1503,0.34131181491522444
82121,F1101,F1102,0.24687100986932609
82121,F1101,F1106,0.8628549091400332
82121,F1101,C1503,0.34131181491522444
83100,F1101,F1102,0.24687100986932609
83100,F1101,F1106,0.8628549091400332
83100,F1101,C1503,0.34131181491522444
84003,F1101,F1102,0.24687100986932609
84003,F1101,F1106,0.8628549091400332
84003,F1101,C1503,0.34131181491522444
86163,F1101,F1102,0.24687100986932609
86163,F1101,F1106,0.8628549091400332
86163,F1101,C1503,0.34131181491522444
87084,F1101,F1102,0.24687100986932609
87084,F1101,F1106,0.8628549091400332
87084,F1101,C1503,0.34131181491522444
88166,F1101,F1102,0.24687100986932609
88166,F1101,F1106,0.8628549091400332
88166,F1101,C1503,0.34131181491522444
89117,F1101,F1102,0.24687100986932609
89117,F1101,F1106,0.8628549091400332
89117,F1101,C1503,0.34131181491522444
90049,F1101,F1102,0.24687100986932609
