rome_id,rome_label,naf_id,naf_label,hirings
A1101,Conduite d'engins agricoles et forestiers,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",161
A1101,Conduite d'engins agricoles et forestiers,0114Z,Culture de la canne à sucre,63
A1101,Conduite d'engins agricoles et forestiers,0121Z,Culture de la vigne,175
A1101,Conduite d'engins agricoles et forestiers,0141Z,Élevage de vaches laitières,65
A1101,Conduite d'engins agricoles et forestiers,0142Z,Élevage d'autres bovins et de buffles,36
A1101,Conduite d'engins agricoles et forestiers,0146Z,Élevage de porcins,17
A1101,Conduite d'engins agricoles et forestiers,0150Z,Culture et élevage associés,85
A1101,Conduite d'engins agricoles et forestiers,0161Z,Activités de soutien aux cultures,441
A1101,Conduite d'engins agricoles et forestiers,0210Z,Sylviculture et autres activités forestières,14
A1101,Conduite d'engins agricoles et forestiers,0220Z,Exploitation forestière,76
A1101,Conduite d'engins agricoles et forestiers,0240Z,Services de soutien à l'exploitation forestière,72
A1101,Conduite d'engins agricoles et forestiers,7731Z,Location et location-bail de machines et équipements agricoles,42
A1101,Conduite d'engins agricoles et forestiers,7830Z,Autre mise à disposition de ressources humaines,248
A1201,Bûcheronnage et élagage,0210Z,Sylviculture et autres activités forestières,9
A1201,Bûcheronnage et élagage,0220Z,Exploitation forestière,165
A1201,Bûcheronnage et élagage,0240Z,Services de soutien à l'exploitation forestière,410
A1201,Bûcheronnage et élagage,8130Z,Services d'aménagement paysager,488
A1201,Bûcheronnage et élagage,8411Z,Administration publique générale,185
A1202,Entretien des espaces naturels,7830Z,Autre mise à disposition de ressources humaines,595
A1202,Entretien des espaces naturels,8411Z,Administration publique générale,763
A1202,Entretien des espaces naturels,8899B,Action sociale sans hébergement n.c.a.,533
A1203,Entretien des espaces verts,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",153
A1203,Entretien des espaces verts,0119Z,Autres cultures non permanentes,86
A1203,Entretien des espaces verts,0122Z,Culture de fruits tropicaux et subtropicaux,81
A1203,Entretien des espaces verts,0130Z,Reproduction de plantes,152
A1203,Entretien des espaces verts,0149Z,Élevage d'autres animaux,34
A1203,Entretien des espaces verts,0210Z,Sylviculture et autres activités forestières,27
A1203,Entretien des espaces verts,0220Z,Exploitation forestière,71
A1203,Entretien des espaces verts,0240Z,Services de soutien à l'exploitation forestière,106
A1203,Entretien des espaces verts,3811Z,Collecte des déchets non dangereux,528
A1203,Entretien des espaces verts,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",460
A1203,Entretien des espaces verts,7810Z,Activités des agences de placement de main-d'œuvre,1189
A1203,Entretien des espaces verts,7830Z,Autre mise à disposition de ressources humaines,5957
A1203,Entretien des espaces verts,8129B,Autres activités de nettoyage n.c.a.,131
A1203,Entretien des espaces verts,8130Z,Services d'aménagement paysager,6753
A1203,Entretien des espaces verts,8411Z,Administration publique générale,7529
A1203,Entretien des espaces verts,8810C,Aide par le travail,1202
A1203,Entretien des espaces verts,9103Z,Gestion des sites et monuments historiques et des attractions touristiques similaires,229
A1203,Entretien des espaces verts,9104Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles,79
A1203,Entretien des espaces verts,9311Z,Gestion d'installations sportives,242
A1203,Entretien des espaces verts,9603Z,Services funéraires,85
A1203,Entretien des espaces verts,9900Z,Activités des organisations et organismes extraterritoriaux,15
A1204,Protection du patrimoine naturel,8411Z,Administration publique générale,184
A1204,Protection du patrimoine naturel,8413Z,Administration publique (tutelle) des activités économiques,82
A1204,Protection du patrimoine naturel,9499Z,Autres organisations fonctionnant par adhésion volontaire,122
A1205,Sylviculture,0240Z,Services de soutien à l'exploitation forestière,72
A1205,Sylviculture,8130Z,Services d'aménagement paysager,37
A1205,Sylviculture,8411Z,Administration publique générale,59
A1301,Conseil et assistance technique en agriculture,4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",113
A1301,Conseil et assistance technique en agriculture,8413Z,Administration publique (tutelle) des activités économiques,134
A1301,Conseil et assistance technique en agriculture,9499Z,Autres organisations fonctionnant par adhésion volontaire,110
A1302,Contrôle et diagnostic technique en agriculture,0162Z,Activités de soutien à la production animale,61
A1302,Contrôle et diagnostic technique en agriculture,4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",74
A1302,Contrôle et diagnostic technique en agriculture,8413Z,Administration publique (tutelle) des activités économiques,55
A1303,Ingénierie en agriculture et environnement naturel,7112B,"Ingénierie, études techniques",571
A1303,Ingénierie en agriculture et environnement naturel,8411Z,Administration publique générale,503
A1303,Ingénierie en agriculture et environnement naturel,8413Z,Administration publique (tutelle) des activités économiques,487
A1303,Ingénierie en agriculture et environnement naturel,9104Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles,149
A1303,Ingénierie en agriculture et environnement naturel,9412Z,Activités des organisations professionnelles,83
A1303,Ingénierie en agriculture et environnement naturel,9499Z,Autres organisations fonctionnant par adhésion volontaire,580
A1401,Aide agricole de production fruitière ou viticole,0113Z,"Culture de légumes, de melons, de racines et de tubercules",350
A1401,Aide agricole de production fruitière ou viticole,0121Z,Culture de la vigne,998
A1401,Aide agricole de production fruitière ou viticole,0122Z,Culture de fruits tropicaux et subtropicaux,15
A1401,Aide agricole de production fruitière ou viticole,0123Z,Culture d'agrumes,7
A1401,Aide agricole de production fruitière ou viticole,0124Z,Culture de fruits à pépins et à noyau,817
A1401,Aide agricole de production fruitière ou viticole,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,36
A1401,Aide agricole de production fruitière ou viticole,0130Z,Reproduction de plantes,97
A1401,Aide agricole de production fruitière ou viticole,7830Z,Autre mise à disposition de ressources humaines,673
A1402,Aide agricole de production légumière ou végétale,0113Z,"Culture de légumes, de melons, de racines et de tubercules",484
A1402,Aide agricole de production légumière ou végétale,0114Z,Culture de la canne à sucre,123
A1402,Aide agricole de production légumière ou végétale,0115Z,Culture du tabac,5
A1402,Aide agricole de production légumière ou végétale,0119Z,Autres cultures non permanentes,56
A1402,Aide agricole de production légumière ou végétale,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,21
A1402,Aide agricole de production légumière ou végétale,0150Z,Culture et élevage associés,62
A1402,Aide agricole de production légumière ou végétale,7830Z,Autre mise à disposition de ressources humaines,384
A1402,Aide agricole de production légumière ou végétale,8899B,Action sociale sans hébergement n.c.a.,253
A1403,Aide d'élevage agricole et aquacole,0141Z,Élevage de vaches laitières,29
A1403,Aide d'élevage agricole et aquacole,0142Z,Élevage d'autres bovins et de buffles,20
A1403,Aide d'élevage agricole et aquacole,0143Z,Élevage de chevaux et d'autres équidés,113
A1403,Aide d'élevage agricole et aquacole,0162Z,Activités de soutien à la production animale,53
A1403,Aide d'élevage agricole et aquacole,7830Z,Autre mise à disposition de ressources humaines,79
A1403,Aide d'élevage agricole et aquacole,8899B,Action sociale sans hébergement n.c.a.,118
A1404,Aquaculture,0311Z,Pêche en mer,7
A1404,Aquaculture,0321Z,Aquaculture en mer,203
A1404,Aquaculture,0322Z,Aquaculture en eau douce,32
A1404,Aquaculture,4638A,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques",50
A1404,Aquaculture,7830Z,Autre mise à disposition de ressources humaines,34
A1405,Arboriculture et viticulture,0121Z,Culture de la vigne,2380
A1405,Arboriculture et viticulture,0123Z,Culture d'agrumes,1
A1405,Arboriculture et viticulture,0124Z,Culture de fruits à pépins et à noyau,325
A1405,Arboriculture et viticulture,0161Z,Activités de soutien aux cultures,386
A1405,Arboriculture et viticulture,1102A,Fabrication de vins effervescents,78
A1405,Arboriculture et viticulture,1102B,Vinification,94
A1405,Arboriculture et viticulture,7830Z,Autre mise à disposition de ressources humaines,637
A1406,Encadrement équipage de la pêche,0311Z,Pêche en mer,1
A1407,Élevage bovin ou équin,0141Z,Élevage de vaches laitières,276
A1407,Élevage bovin ou équin,0142Z,Élevage d'autres bovins et de buffles,158
A1407,Élevage bovin ou équin,0145Z,Élevage d'ovins et de caprins,25
A1407,Élevage bovin ou équin,0146Z,Élevage de porcins,50
A1407,Élevage bovin ou équin,0150Z,Culture et élevage associés,146
A1407,Élevage bovin ou équin,0162Z,Activités de soutien à la production animale,65
A1407,Élevage bovin ou équin,4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,47
A1407,Élevage bovin ou équin,7830Z,Autre mise à disposition de ressources humaines,359
A1408,Élevage d'animaux sauvages ou de compagnie,0149Z,Élevage d'autres animaux,24
A1408,Élevage d'animaux sauvages ou de compagnie,8411Z,Administration publique générale,70
A1408,Élevage d'animaux sauvages ou de compagnie,9499Z,Autres organisations fonctionnant par adhésion volontaire,79
A1408,Élevage d'animaux sauvages ou de compagnie,9609Z,Autres services personnels n.c.a.,49
A1409,Élevage de lapins et volailles,0147Z,Élevage de volailles,106
A1409,Élevage de lapins et volailles,1012Z,Transformation et conservation de la viande de volaille,18
A1409,Élevage de lapins et volailles,7830Z,Autre mise à disposition de ressources humaines,46
A1410,Élevage ovin ou caprin,0145Z,Élevage d'ovins et de caprins,130
A1410,Élevage ovin ou caprin,0162Z,Activités de soutien à la production animale,48
