rome_id|rome_label
10213|Accompagnateur / Accompagnatrice d'enfants ou d'adolescents
10219|Accompagnateur médicosocial / Accompagnatrice médicosociale
10220|Accompagnateur médicosocial / Accompagnatrice médicosociale d'activités de la vie journalière
10221|Accompagnateur médicosocial / Accompagnatrice médicosociale de personnes dépendantes
10222|Accompagnateur médicosocial / Accompagnatrice médicosociale de personnes en post-cure
10224|Accompagnateur / Accompagnatrice reconversion professionnelle
10237|Accueillant familial / Accueillante familiale auprès d'adultes
10238|Accueillant familial / Accueillante familiale auprès d'enfants
10239|Accueillant familial / Accueillante familiale thérapeutique auprès d'adultes
10240|Accueillant familial / Accueillante familiale thérapeutique auprès d'enfants
10260|Acousticien / Acousticienne BTP
10261|"Acousticien / Acousticienne en études, recherche et développement"
10263|Acteur / Actrice
10264|Acteur / Actrice de complément
10265|Acteur principal / Actrice principale
10273|Adjoint / Adjointe au directeur marketing
10274|Adjoint / Adjointe au directeur mercatique
10282|Adjoint / Adjointe au responsable du service formation en entreprise
10294|Adjoint / Adjointe d'enseignement chargé d'éducation
10296|Adjoint / Adjointe du directeur en hôtellerie-restauration
10297|Adjoint / Adjointe responsable de magasin de détail
10303|Administrateur / Administratrice de compagnie de danse
10304|Administrateur / Administratrice de compagnie de théâtre
10306|Administrateur / Administratrice de production cinéma
10310|Administrateur / Administratrice de théâtre
10311|Administrateur / Administratrice d'orchestre
10320|"Aérodynamicien / Aérodynamicienne en études, recherche et développement"
10328|Affichiste
10337|Affûteur / Affûteuse de fraises
10338|Affûteur / Affûteuse de menuiserie
10339|Affûteur / Affûteuse de scierie
10340|Affûteur / Affûteuse d'outillage industriel
10341|Affûteur / Affûteuse d'outils de coupe
10342|Affûteur-ajusteur / Affûteuse-ajusteuse
10343|Affûteur-outilleur / Affûteuse-outilleuse
10344|Affûteur-régleur / Affûteuse-régleuse
10345|Agenceur / Agenceuse de cuisine
10346|Agenceur / Agenceuse de stands
10348|Agent / Agente à domicile
10349|Agent administratif / Agente administrative
10357|Agent / Agente cariste de livraison ferroviaire
10360|Agent commercial / Agente commerciale de conduite transport en commun
10362|Agent commercial / Agente commerciale en immobilier
10364|"Agent / Agente comptable d'établissement public à caractère scientifique, culturel et professionnel -EPSCP-"
10366|Agent conducteur / Agente conductrice de chien
10367|Agent conducteur / Agente conductrice de chien de défense
10370|Agent / Agente cynophile de sécurité
10372|Agent / Agente d'accueil
10375|Agent / Agente d'accueil touristique
10386|Agent / Agente d'archivage en entrepôt
10390|Agent / Agente d'assemblage mécanique
10395|Agent / Agente de bio nettoyage hospitalier
10405|Agent / Agente de conditionnement et de manutention
10406|Agent / Agente de conditionnement manuel
10407|Agent / Agente de conditionnement sur machine automatisée
10421|Agent / Agente de contrôle et conditionnement manuel
10427|Agent / Agente de cuisine
10435|Agent / Agente de démarque
10439|Agent / Agente de développement d'habitat social
10440|Agent / Agente de développement économique
10441|Agent / Agente de développement local
10442|Agent / Agente de développement rural
10443|Agent / Agente de développement social urbain
10448|Agent / Agente de fabrication de production alimentaire
10451|Agent / Agente de fabrication en montage-assemblage mécanique
10453|Agent de fabrication polyvalent / Agente de fabrication polyvalente en industrie
10458|Agent / Agente de finition main et de conditionnement
10463|Agent / Agente de gestion comptable
10467|Agent / Agente de laboratoire d'analyse industrielle
10476|Agent / Agente de location immobilière
10479|Agent / Agente de magasinage
10484|Agent / Agente de maintenance de machines de bureau
10486|Agent / Agente de maintenance de matériels de reprographie
10489|Agent / Agente de maintenance des bâtiments
10490|Agent / Agente de maintenance en bureautique
10491|Agent / Agente de maintenance en climatisation
10492|Agent / Agente de maintenance en conditionnement d'air
10496|Agent / Agente de maintenance en génie climatique
10497|Agent / Agente de maintenance en informatique
10501|Agent / Agente de maintenance industrielle
10504|Agent / Agente de maintenance sur systèmes d'impression et de reprographie
10505|Agent / Agente de maintenance sur télécopieurs
10506|Agent / Agente de maîtrise d'atelier de maintenance industrielle
10510|Agent / Agente de maîtrise de maintenance industrielle
10513|Agent / Agente de maîtrise d'entretien en électromécanique
10518|Agent / Agente de maîtrise en tôlerie-carrosserie
10523|Agent / Agente de manutention de charges lourdes
10533|Agent / Agente de montage mécanique
10535|Agent / Agente de montage-assemblage mécanique
10537|Agent / Agente de nettoyage industriel
10540|Agent / Agente de pays
10556|Agent / Agente de prévention et de sécurité
10557|Agent / Agente de prévention et de sécurité privée
10561|Agent / Agente de production de montage-assemblage mécanique
10567|Agent / Agente de production/fabrication en industrie alimentaire
10571|Agent / Agente de propreté de locaux
10572|Agent / Agente de propreté en milieu sensible
10573|Agent / Agente de propreté et d'hygiène
10574|Agent / Agente de propreté hospitalière
10575|Agent / Agente de propreté tertiaire
10578|Agent / Agente de protection rapprochée
10579|Agent / Agente de quai manutentionnaire
10580|Agent / Agente de quai réceptionnaire
10585|Agent / Agente de rénovation et maintenance en électricité de machines industrielles
10591|Agent / Agente de réservation en hôtellerie
10594|Agent / Agente de restauration rapide
10599|Agent / Agente de sécurité
10600|"Agent / Agente de sécurité boîte de nuit, discothèque"
10601|Agent / Agente de sécurité incendie
10602|Agent / Agente de sécurité SSIAP 1
10604|Agent / Agente de service de sécurité incendie
10605|Agent / Agente de service expédition marchandises
10606|Agent / Agente de service sécurité
10611|Agent / Agente de stérilisation de service hospitalier
10612|Agent / Agente de stockage
10613|Agent / Agente de sûreté
10614|Agent / Agente de sûreté aéroportuaire
10615|Agent / Agente de sûreté de passage
10616|Agent / Agente de sûreté fret
10617|Agent / Agente de surveillance
10621|Agent / Agente de surveillance et de protection
10622|Agent / Agente de surveillance et de sécurité
10623|Agent / Agente de surveillance et d'intervention
10624|Agent / Agente de télésurveillance
10649|Agent / Agente d'encadrement de maintenance en froid et climatisation
10651|Agent / Agente d'encadrement en froid et conditionnement d'air
10660|Agent / Agente d'entreposage
10661|Agent / Agente d'entreposage et de messagerie
10663|Agent / Agente d'entretien de casernement
10665|Agent / Agente d'entretien de la voie ferrée
10669|Agent / Agente d'entretien de nettoyage industriel
10670|Agent / Agente d'entretien d'équipements électriques
10671|Agent / Agente d'entretien des bâtiments et espaces collectifs
10672|Agent / Agente d'entretien des collectivités
10674|Agent / Agente d'entretien des installations d'infrastructures
10675|Agent / Agente d'entretien des parcs et jardins
10679|Agent / Agente d'entretien du bâtiment
10684|Agent d'entretien maintenance polyvalent / Agente d'entretien maintenance polyvalente en collectivité
10686|Agent / Agente de nettoyage en collectivité
10687|Agent / Agente d'entretien/propreté de bureaux
10688|Agent / Agente d'entretien/propreté de locaux
10689|Agent / Agente d'entretien/propreté d'immeubles
10698|Agent / Agente des services hospitaliers
10714|Agent / Agente d'exploitation et de sûreté aéroportuaire
10719|Agent / Agente d'information
10729|Agent / Agente d'opérations manuelles
10730|Agent / Agente d'opérations manuelles en industrie de transformation
10741|Agent hospitalier / Agente hospitalière
10742|Agent hôtelier hospitalier / Agente hôtelière hospitalière
10744|Agent / Agente immobilier
10748|Agent / Agente logistique en magasinage
10749|Agent / Agente machiniste en propreté
10750|Agent magasinier / Agente magasinière gestionnaire de stocks
10756|Agent spécialisé / Agente spécialisée des écoles maternelles -ASEM-
10757|Agent spécialisé / Agente spécialisée des écoles primaires
10758|Agent technicien / Agente technicienne en froid et climatisation
10775|Agent / Agente technique de nettoyage industriel
10783|Agent / Agente technique du service des essences des armées
10800|Agréeur / Agréeuse commerce de gros
10801|Agriculteur / Agricultrice
10803|Agriculteur / Agricultrice en polyculture
10805|Aide à domicile
10816|Aide aux personnes âgées
10817|Aide carrossier / carrossière
10818|Aide chaudronnier / chaudronnière
10826|Aide de cuisine
10827|Aide de cuisine de collectivité
10828|Aide de laboratoire d'analyse industrielle
10831|Aide de vie scolaire
10844|Aide électricien / électricienne de maintenance
10846|Aide familial / familiale
10851|Aide maçon / maçonne Voiries et Réseaux Divers VRD
10854|Aide maternel / maternelle d'école
10856|Aide médico-psychologique
10857|Aide ménager / ménagère à domicile
10863|Aide-agent / Aide-agente technique de nettoyage industriel
10865|Aide-biochimiste d'analyse industrielle
10866|Aide-biologiste d'analyse industrielle
10867|Aide-boucher / Aide-bouchère
10868|Aide-boulanger / Aide-boulangère
10870|Aide-chimiste d'analyse industrielle
10871|Aide-comptable
10872|Aide-comptable facturier / facturière
10877|Aide-livreur / Aide-livreuse
10879|Aide-maçon / Aide-maçonne
10880|Aide-magasinier / Aide-magasinière
10881|Aide-mécanicien / Aide-mécanicienne en montage-assemblage mécanique
10882|Aide-monteur / Aide-monteuse en montage-assemblage mécanique
10885|Aide-pâtissier / Aide-pâtissière
10887|Aide-physicien / Aide-physicienne d'analyse industrielle
10888|Aide-préparateur / Aide-préparatrice en pharmacie
10891|Aide-soignant / Aide-soignante
10892|Aide-soignant / Aide-soignante à domicile
10893|Aide-soignant / Aide-soignante en gériatrie
10894|Aide-soignant / Aide-soignante en puériculture
10895|Aide-soignant hospitalier / Aide-soignante hospitalière
10896|Aide-soudeur / Aide-soudeuse en montage-assemblage mécanique
10920|Aléseur / Aléseuse
10921|Aléseur pointeur / Aléseuse pointeuse
10927|Ambulancier / Ambulancière
10928|Ambulancier hospitalier / Ambulancière hospitalière
10929|Ambulancier / Ambulancière urgentiste
10931|Analyste biologie/microbiologie en industrie
10933|Analyste cogniticien / cogniticienne informatique
10934|Analyste concepteur / conceptrice informatique
10935|Analyste d'application
10937|Analyste de gestion d'entreprise
10938|Analyste de gestion informatique
10939|Analyste de laboratoire en industrie pharmaceutique
10943|Analyste d'étude informatique
10944|Analyste développeur / développeuse
10950|Analyste fonctionnel / fonctionnelle informatique
10952|Analyste organique informatique
10953|Analyste physicochimiste en industrie
10955|Analyste radioactivité en industrie
10956|Analyste réseau informatique
10957|Analyste responsable d'application informatique
10959|Analyste télématique
10960|Analyste-programmeur / Analyste-programmeuse de micro-informatique
10961|Analyste-programmeur / Analyste-programmeuse d'étude informatique
10962|Analyste-programmeur / Analyste-programmeuse en informatique industrielle
10963|Analyste-programmeur / Analyste-programmeuse gestion informatique
10964|Analyste-programmeur / Analyste-programmeuse informatique
10965|Analyste-programmeur / Analyste-programmeuse scientifique informatique
10969|Animateur / Animatrice 2D
10970|Animateur / Animatrice 3D
10971|Animateur adjoint / Animatrice adjointe sanitaire auprès d'enfants ou d'adolescents
10973|Animateur / Animatrice classe de découverte
10976|Animateur conseiller / Animatrice conseillère en Technologies de l'Information et de la Communication -TIC-
10977|Animateur coordonnateur / Animatrice coordonnatrice d'activités du troisième âge
10978|Animateur coordonnateur / Animatrice coordonnatrice d'activités jeunesse
10979|Animateur / Animatrice d'activités audiovisuelles
10980|Animateur / Animatrice d'activités culturelles et de détente
10981|Animateur / Animatrice d'activités culturelles et techniques
10982|"Animateur / Animatrice d'activités culturelles, techniques ou ludiques"
10983|Animateur / Animatrice d'activités périscolaires
10984|Animateur / Animatrice d'activités sociales et de vie locale
10985|Animateur / Animatrice d'arts plastiques
10986|Animateur / Animatrice d'atelier artistique ou ludique
10987|Animateur / Animatrice d'atelier d'activités manuelles
10989|Animateur / Animatrice d'atelier d'écriture
10990|Animateur / Animatrice d'atelier d'expression corporelle
10991|Animateur / Animatrice d'atelier en maison de retraite
10992|Animateur / Animatrice d'atelier Internet
10993|Animateur / Animatrice d'atelier lecture
10994|Animateur / Animatrice d'atelier multimédia
10995|Animateur / Animatrice d'atelier musical
10996|Animateur / Animatrice d'atelier sciences
10999|Animateur / Animatrice de centre aéré
11000|Animateur / Animatrice de centre de loisirs
11001|Animateur / Animatrice de centre de vacances et de loisirs
11002|Animateur / Animatrice de chantier de jeunes bénévoles
11003|Animateur / Animatrice de chantier international de jeunes bénévoles
11004|Animateur / Animatrice de charte de pays
11005|Animateur / Animatrice de club de vacances
11006|Animateur / Animatrice de club enfants
11007|Animateur / Animatrice de colonie de vacances
11009|Animateur / Animatrice de convivialité en structure d'accueil
11010|Animateur / Animatrice de cyberespace
11011|Animateur / Animatrice de développement local
11012|Animateur / Animatrice de développement régional
11013|Animateur / Animatrice de développement territorial
11014|Animateur / Animatrice de formateurs
11015|Animateur / Animatrice de formation
11017|Animateur / Animatrice de foyer rural
11021|Animateur / Animatrice de loisirs auprès des enfants et adolescents
11022|Animateur / Animatrice de loisirs de plage
11023|Animateur / Animatrice de loisirs pour enfants
11024|Animateur / Animatrice de mini-club enfants
11026|Animateur / Animatrice de pays
11028|Animateur / Animatrice de quartier
11029|Animateur / Animatrice de régie de quartier
11036|Animateur / Animatrice de village de vacances
11037|Animateur / Animatrice d'écomusée
11038|Animateur / Animatrice d'enfants
11039|Animateur / Animatrice d'enfants assistant(e) sanitaire
11040|Animateur / Animatrice d'enfants en centre de vacances
11041|Animateur / Animatrice d'enfants en classe transplantée
11043|Animateur / Animatrice des arts du cirque
11044|Animateur / Animatrice d'espace multimédia
11046|Animateur / Animatrice d'initiation à la nature
11047|Animateur / Animatrice d'initiation aux Technologies de l'Information et de la Communication -TIC-
11052|Animateur / Animatrice éco interprète
11058|Animateur / Animatrice logistique
11059|Animateur / Animatrice nature environnement
11061|Animateur / Animatrice qualité industrie
11064|Animateur social / Animatrice sociale en foyer d'hébergement
11065|Animateur socioculturel / Animatrice socioculturelle
11066|Animateur socioéducatif / Animatrice socioéducative
11067|Animateur sportif / Animatrice sportive
11071|Animateur-coordinateur / Animatrice-coordinatrice de formation
11073|Animateur / Animatrice beauté
11083|Applicateur / Applicatrice de résines de synthèse
11085|Applicateur / Applicatrice d'enduits
11097|Approvisionneur / Approvisionneuse logistique
11124|Architecte produit industriel
11127|"Architecte spatial / spatiale en études, recherche et développement"
11146|Arrangeur musical / Arrangeuse musicale
11157|Artiste dramatique
11166|Aspigiculteur / Aspigicultrice
11167|Assembleur / Assembleuse au plan en chaudronnerie
11175|Assembleur monteur / Assembleuse monteuse
11178|Assistant / Assistante à la direction d'un établissement hôtelier
11179|Assistant / Assistante à la direction d'un restaurant
11180|Assistant / Assistante accueil petite enfance
11181|Assistant / Assistante achat
11183|Assistant administratif / Assistante administrative
11185|Assistant administratif / Assistante administrative de projet
11186|Assistant administratif et commercial / Assistante administrative et commerciale
11187|Assistant administratif / Assistante administrative et comptable
11188|Assistant / Assistante administration des ventes
11190|Assistant / Assistante au contrôle de gestion
11191|Assistant / Assistante au directeur marketing
11192|Assistant / Assistante au directeur mercatique
11194|Assistant / Assistante aux utilisateurs en informatique
11199|Assistant / Assistante carrières et paie
11204|Assistant / Assistante chef de projet
11205|Assistant / Assistante chef de projet informatique
11208|Assistant coiffeur / Assistante coiffeuse
11210|Assistant commercial / Assistante commerciale
11211|Assistant commercial / Assistante commerciale en immobilier
11213|Assistant / Assistante comptable
11214|Assistant / Assistante comptable et budgétaire
11217|Assistant / Assistante de cabinet comptable
11219|Assistant / Assistante de charte intercommunale ou de contrat de pays
11220|Assistant / Assistante de clientèle de banque
11221|Assistant / Assistante de coiffure
11222|Assistant / Assistante de communication
11224|Assistant / Assistante de contrôle budgétaire
11225|Assistant / Assistante de convivialité à domicile
11226|Assistant / Assistante de développement local
11227|Assistant / Assistante de direction
11228|Assistant / Assistante de direction bilingue
11229|Assistant / Assistante de direction trilingue
11230|Assistant / Assistante de gestion administrative
11231|Assistant / Assistante de gestion administrative du personnel
11232|Assistant / Assistante de gestion d'entreprise
11233|Assistant / Assistante de gestion du personnel
11234|Assistant / Assistante de gestion en comptabilité
11235|Assistant / Assistante de gestion en ressources humaines
11243|Assistant / Assistante de production en restauration collective
11244|Assistant / Assistante de production spectacle
11248|Assistant / Assistante de réception en établissement hôtelier
11249|Assistant / Assistante de recherche clinique en industrie
11251|Assistant / Assistante de service formation
11253|Assistant / Assistante de service social
11255|Assistant / Assistante de vie
11256|Assistant / Assistante de vie auprès de personnes âgées
11257|Assistant / Assistante de vie auprès de personnes handicapées
11258|Assistant / Assistante de vie scolaire
11263|Assistant / Assistante d'éducation
11266|Assistant / Assistante des ventes
11270|Assistant / Assistante d'exploitation logistique
11274|Assistant / Assistante d'ingénieur
11277|Assistant / Assistante du directeur en hôtellerie-restauration
11278|Assistant / Assistante du service personnel
11279|Assistant éducateur / Assistante éducatrice d'activités sportives
11280|Assistant / Assistante emploi formation
11286|Assistant / Assistante export
11287|Assistant familial / Assistante familiale
11294|Assistant / Assistante import
11295|Assistant / Assistante logistique
11297|Assistant / Assistante maître d'hôtel
11299|Assistant manager / Assistante manageuse en restauration
11303|Assistant / Assistante marketing
11304|Assistant maternel / Assistante maternelle
11305|Assistant maternel / Assistante maternelle à domicile
11306|Assistant maternel / Assistante maternelle du particulier employeur
11307|Assistant maternel / Assistante maternelle en famille d'accueil
11311|Assistant / Assistante micro-informatique
11317|Assistant / Assistante paie
11318|Assistant / Assistante parlementaire
11319|Assistant / Assistante pédagogique en milieu scolaire
11324|Assistant / Assistante relations presse
11325|Assistant / Assistante relations publiques
11329|Assistant / Assistante ressources humaines
11332|Assistant / Assistante service clientèle
11334|Assistant / Assistante service clientèle bancaire
11335|Assistant social / Assistante sociale
11336|Assistant social / Assistante sociale de secteur
11337|Assistant social / Assistante sociale du personnel
11338|Assistant social / Assistante sociale du travail
11341|Assistant / Assistante sur site informatique
11343|Assistant / Assistante technique de pays
11348|Assistant / Assistante technique d'ingénieur de production
11349|"Assistant / Assistante technique d'ingénieur en études, recherche et développement en industrie"
11351|Assistant / Assistante technique ingénierie
11353|Assistant territorial / Assistante territoriale d'enseignement
11360|Assureur / Assureuse qualité industrie
11365|Atrier / Atrière
11366|Atrier-fumiste / Atrière-fumiste
11368|Attaché commercial / Attachée commerciale auprès des particuliers
11375|Attaché commercial / Attachée commerciale en biens de consommation auprès des entreprises
11376|Attaché commercial / Attachée commerciale en biens d'équipement professionnels
11377|Attaché commercial / Attachée commerciale en biens intermédiaires et matières premières auprès des entreprises
11378|Attaché commercial / Attachée commerciale en clientèle d'entreprises
11379|Attaché commercial / Attachée commerciale en fournitures industrielles auprès des entreprises
11380|Attaché commercial / Attachée commerciale en immobilier
11382|Attaché commercial / Attachée commerciale en matériaux industriels auprès des entreprises
11383|Attaché commercial / Attachée commerciale en matériel agricole auprès des entreprises
11384|Attaché commercial / Attachée commerciale en matériel de bureau auprès des entreprises
11385|Attaché commercial / Attachée commerciale en services auprès des entreprises
11386|Attaché commercial / Attachée commerciale en transport-logistique
11387|Attaché commercial / Attachée commerciale export
11388|Attaché commercial / Attachée commerciale grandes et moyennes surfaces de vente (GMS)
11389|Attaché commercial / Attachée commerciale sédentaire
